"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"902","The University of Tampa","22","27","1070","1230"
"903","The University of Tennessee","24","30","1120","1310"
"904","The University of Tennessee at Chattanooga","21","26","1000","1260"
"905","The University of Tennessee Martin","20","25","1060","1240"
"906","The University of Texas at Arlington","20","26","1030","1260"
"907","The University of Texas at Austin","26","32","1210","1460"
"908","The University of Texas at Dallas","25","31","1210","1430"
"909","The University of Texas at El Paso","17","22","900","1110"
"910","The University of Texas at San Antonio","20","25","1000","1200"
"911","The University of Texas at Tyler","20","25","1030","1220"
"912","The University of Texas of the Permian Basin","18","22","930","1130"
"913","The University of Texas Pan American","18","22","930","1130"
"914","The University of the Arts","19","27","990","1210"
"915","The University of Virginia's College at Wise","18","23","930","1140"
"916","The University of West Florida","21","26","1030","1200"
"917","Thiel College","16","23","880","1130"
"918","Thomas Aquinas College","25","30","1210","1420"
"919","Thomas More College","20","24","950","1200"
"920","Toccoa Falls College","18","23","910","1150"
"921","Tougaloo College","16","24","930","1250"
"922","Towson University","21","25","1060","1230"
"923","Trevecca Nazarene University","19","25","1010","1210"
"924","Trine University","20","27","1020","1270"
"925","Trinity Baptist College","16","20","850","1080"
"926","Trinity Bible College","17","22","740","1130"
"927","Trinity Christian College","20","27","950","1290"
"928","Trinity College of Florida","15","19","800","1030"
"929","Trinity International University","20","27","960","1260"
"930","Trinity University","27","31","1230","1420"
"931","Troy University","18","24","1010","1230"
"932","Truett McConnell College","18","22","940","1130"
"933","Truman State University","24","30","1140","1390"
"934","Tufts University","31","34","1420","1540"
"935","Tulane University of Louisiana","29","32","1310","1460"
"936","Tusculum College","18","23","920","1120"
"937","Tuskegee University","21","22","970","1180"
"938","Union College","18","26","960","1250"
"939","Union College","18","22","960","1250"
"940","Union University","23","30","1100","1360"
"941","United States Air Force Academy","29","32","1300","1450"
"942","United States Coast Guard Academy","26","31","1250","1410"
"943","United States Military Academy","26","31","1250","1440"
"944","University at Buffalo","24","29","1140","1330"
"945","University of Akron Main Campus","19","26","990","1250"
"946","University of Alabama at Birmingham","21","28","1050","1360"
"947","University of Alabama at Huntsville","25","31","1130","1400"
"948","University of Alaska Fairbanks","19","26","1030","1270"
"949","University of Arkansas","23","29","1090","1290"
"950","University of Arkansas at Little Rock","19","25","970","1170"
